"CompoundID","myb_tri","col","log2fc","pvalue","FDR","VIP","Compound_name","Name","assumed_isotopic_group","mean_peak","ions","CD_Check","cid","MolecularFormula","MolecularWeight","InChIKey","IUPACName","ExactMass","kingdom","superclass","class","subclass","level.5","level.6","level.7","level.8","level.9","mf","mw","RT","Judge","KEGG","Check_MF","Check_MW","High_identical"
"Compound_0001",31457729.9533333,23646077.8466667,0.411813662127314,0.00891405426962833,0.418491389921499,1.76399360245433,"(R)-2,4-bis(4-hydroxy-3-methoxyphenyl)-2-methylcyclopent-4-ene-1,3-dione_120172","(R)-2,4-bis(4-hydroxy-3-methoxyphenyl)-2-methylcyclopent-4-ene-1,3-dione_120172",NA,"","pos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","C20 H18 O6",354.10961,7.946,NA,NA,NA,NA,NA
"Compound_0002",30833451.1933333,20710566.17,0.574129386161807,0.0318289871333687,0.633902346439173,1.63210915987912,"(-)-2-(2-hydroxyethyl)clavam","(-)-2-(2-hydroxyethyl)clavam",NA,"","pos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","C7 H11 N O3",157.07381,1.615,NA,NA,NA,NA,NA
"Compound_0024",8030888.844,7093460.684,0.179070025110727,0.0240641363641611,0.617745919534452,1.74299633371999,"(2S)-2-[(1S,2R)-1,2-dihydroxypentyl]-4-methoxy-2,3-dihydropyran-6-one","(2S)-2-[(1S,2R)-1,2-dihydroxypentyl]-4-methoxy-2,3-dihydropyran-6-one",NA,"","pos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","C11 H18 O5",230.11524,4.913,NA,NA,NA,NA,NA
"Compound_0039",52231976.5533333,33463366.0866667,0.642350725299469,0.018129715138225,0.617745919534452,1.75288457815742,"(Vinyloxy)cyclohexane-isoform1","(Vinyloxy)cyclohexane-isoform1",NA,"","pos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","C8 H14 O",126.10454,7.393,NA,NA,NA,NA,NA
"Compound_0045",67400401.1566667,90857245.3333333,-0.430844387400734,0.00245121364341132,0.392202897597337,1.82194371738793,"{[(2E)-3-(4-Hydroxy-3,5-dimethoxyphenyl)-2-propenoyl]oxy}malonate","{[(2E)-3-(4-Hydroxy-3,5-dimethoxyphenyl)-2-propenoyl]oxy}malonate",NA,"","pos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","C14 H12 O9",324.04784,6.439,NA,NA,NA,NA,NA
"Compound_0047",20965178.1533333,16463082.1933333,0.348760629428,0.0314426484253973,0.633902346439173,1.6492041815017,"{4-[(1E)-2-(8,8-Dimethyl-5,6,7,8-tetrahydro-2-naphthalenyl)-1-propen-1-yl]phenyl}methanol","{4-[(1E)-2-(8,8-Dimethyl-5,6,7,8-tetrahydro-2-naphthalenyl)-1-propen-1-yl]phenyl}methanol",NA,"","pos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","C22 H26 O",306.19842,11.715,NA,NA,NA,NA,NA
"Compound_0049",27507473.64,20310873.4066667,0.437571365131818,0.0322776452465501,0.633902346439173,1.64895339379262,"1-(1-b-Glucopyranosyl)-1H-indole-3-carbaldehyde","1-(1-b-Glucopyranosyl)-1H-indole-3-carbaldehyde",NA,"","pos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","C15 H17 N O6",307.10525,3.944,NA,NA,NA,NA,NA
"Compound_0076",13763053.24,8121661.09733333,0.760953825155997,0.042896475153609,0.70858621920406,1.68092897321783,"1,3,5-Cyclohexanetricarboxylic acid","1,3,5-Cyclohexanetricarboxylic acid",NA,"","pos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","C9 H12 O6",216.0631,2.677,NA,NA,NA,NA,NA
"Compound_0123",8487150.187,5353649.35966667,0.66475755540473,0.000171454096699093,0.0764685271277956,1.86111617883701,"2-hydroxy-5-methoxy-6-(3-methylbut-3-en-1-ynyl)benzylalcohol-isoform2","2-hydroxy-5-methoxy-6-(3-methylbut-3-en-1-ynyl)benzylalcohol-isoform2",NA,"","pos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","C13 H14 O3",218.09393,5.367,NA,NA,NA,NA,NA
"Compound_0141",24856873.8766667,74378146.4833333,-1.58123392884144,7.82447625764922e-05,0.0697943282182311,1.8737987828509,"2,2,6,6-Tetramethyl-1-piperidinol (TEMPO)","2,2,6,6-Tetramethyl-1-piperidinol (TEMPO)",NA,"","pos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","C9 H19 N O",157.14652,10.691,NA,NA,NA,NA,NA
